T&D :- 02/02/2023 13:24:01 | EURJPY |  | WIN | put | 84.0 | Counter :- 2 | 9949.08
T&D :- 02/02/2023 13:25:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 3 | 10024.01
T&D :- 02/02/2023 13:26:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 4 | 10098.95
T&D :- 02/02/2023 13:27:02 | EURJPY |  | LOSS | put | 168.0 | Counter :- 5 | 9930.95
T&D :- 02/02/2023 13:28:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 6 | 10164.81
T&D :- 02/02/2023 13:29:01 | EURJPY |  | LOSS | put | 168.0 | Counter :- 7 | 9996.81
T&D :- 02/02/2023 13:30:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 8 | 10230.68
T&D :- 02/02/2023 13:31:01 | EURJPY |  | WIN | put | 84.0 | Counter :- 9 | 10305.61
T&D :- 02/02/2023 13:32:02 | EURJPY |  | LOSS | put | 168.0 | Counter :- 10 | 10137.61
T&D :- 02/02/2023 13:33:02 | EURJPY |  | LOSS | put | 315.0 | Counter :- 11 | 9822.61
T&D :- 02/02/2023 13:34:02 | EURJPY |  | LOSS | put | 609.0 | Counter :- 12 | 9213.61
T&D :- 02/02/2023 13:35:03 | EURJPY |  | WIN | put | 84.0 | Counter :- 13 | 10281.86
T&D :- 02/02/2023 13:36:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 14 | 10356.79
T&D :- 02/02/2023 13:37:01 | EURJPY |  | LOSS | put | 168.0 | Counter :- 15 | 10188.79
T&D :- 02/02/2023 13:38:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 16 | 10422.65
T&D :- 02/02/2023 13:39:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 17 | 10497.58
T&D :- 02/02/2023 13:40:02 | EURJPY |  | LOSS | put | 168.0 | Counter :- 18 | 10329.58
T&D :- 02/02/2023 13:41:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 19 | 10563.45
T&D :- 02/02/2023 13:42:02 | EURJPY |  | LOSS | put | 168.0 | Counter :- 20 | 10395.45
T&D :- 02/02/2023 13:43:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 21 | 10629.3
T&D :- 02/02/2023 13:44:01 | EURJPY |  | LOSS | put | 168.0 | Counter :- 22 | 10461.3
T&D :- 02/02/2023 13:45:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 23 | 10695.16
T&D :- 02/02/2023 13:46:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 24 | 10770.09
T&D :- 02/02/2023 13:47:02 | EURJPY |  | LOSS | put | 168.0 | Counter :- 25 | 10602.09
T&D :- 02/02/2023 13:48:02 | EURJPY |  | LOSS | put | 315.0 | Counter :- 26 | 10287.09
T&D :- 02/02/2023 13:49:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 27 | 10799.09
T&D :- 02/02/2023 13:50:02 | EURJPY |  | LOSS | put | 168.0 | Counter :- 28 | 10631.09
T&D :- 02/02/2023 13:51:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 29 | 10864.95
T&D :- 02/02/2023 13:52:02 | EURJPY |  | LOSS | put | 168.0 | Counter :- 30 | 10696.95
T&D :- 02/02/2023 13:53:03 | EURJPY |  | LOSS | put | 315.0 | Counter :- 31 | 10381.95
T&D :- 02/02/2023 13:54:02 | EURJPY |  | LOSS | put | 609.0 | Counter :- 32 | 9772.95
T&D :- 02/02/2023 13:55:02 | EURJPY |  | WIN | put | 84.0 | Counter :- 33 | 10841.22
