T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 2 | 10813.67 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 3 | 10554.51 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 2.6061 | Counter :- 4 | 10552.67 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 5 | 10558.66 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 6 | 10552.71 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 2.6061 | Counter :- 7 | 9986.83 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 8 | 11061.5 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 9 | 11058.99 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 2.6061 | Counter :- 10 | 11063.14 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 11 | 11057.65 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 12 | 11055.14 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 13 | 11057.26 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 14 | 11069.54 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 2.6061 | Counter :- 15 | 11062.2 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 16 | 11075.05 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 17 | 10895.43 | Compounding Amt :- 5.9861
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 18 | 10890.92 | Compounding Amt :- 7.1761
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 8.539559 | Counter :- 19 | 11225.57 | Compounding Amt :- 7.1761
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 20 | 11227.7 | Compounding Amt :- 15.715659
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 18.70163421 | Counter :- 21 | 11195.77 | Compounding Amt :- 15.715659
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 22 | 11203.4 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 23 | 11198.47 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 24 | 11214.5 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 4.0222 | Counter :- 25 | 11212.48 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 26 | 11153.46 | Compounding Amt :- 7.4022
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 8.808618 | Counter :- 27 | 11145.71 | Compounding Amt :- 7.4022
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 28 | 11161.06 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 29 | 11153.45 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 30 | 11165.61 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 31 | 11166.54 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 32 | 11162.38 | Compounding Amt :- 1
